country,code,date,cumulative,confirmed
Australia,AUS,16/03/2020,298,49
Australia,AUS,17/03/2020,375,77
Australia,AUS,18/03/2020,454,79
Australia,AUS,19/03/2020,565,111
Australia,AUS,20/03/2020,709,144
Australia,AUS,21/03/2020,874,165
Australia,AUS,22/03/2020,1098,224
Australia,AUS,23/03/2020,1709,611
Australia,AUS,24/03/2020,1823,114
Australia,AUS,25/03/2020,2423,600
Australia,AUS,26/03/2020,2799,376
Australia,AUS,27/03/2020,3166,367
Australia,AUS,28/03/2020,3378,212
Australia,AUS,29/03/2020,3809,431
Australia,AUS,30/03/2020,4093,284
Australia,AUS,31/03/2020,4557,464
Australia,AUS,01/04/2020,4707,150
Australia,AUS,02/04/2020,4976,269
Australia,AUS,03/04/2020,5224,248
Australia,AUS,04/04/2020,5548,324
Australia,AUS,05/04/2020,5687,139
Australia,AUS,06/04/2020,5744,57
Australia,AUS,07/04/2020,5844,100
Australia,AUS,08/04/2020,5956,112
Australia,AUS,09/04/2020,6052,96
Australia,AUS,10/04/2020,6152,100
Australia,AUS,11/04/2020,6238,86
Australia,AUS,12/04/2020,6289,51
Australia,AUS,13/04/2020,6322,33
Australia,AUS,14/04/2020,6366,44
Australia,AUS,15/04/2020,6416,50
Australia,AUS,16/04/2020,6458,42
Australia,AUS,17/04/2020,6497,39
Australia,AUS,18/04/2020,6533,36
Australia,AUS,19/04/2020,6586,53
Australia,AUS,20/04/2020,6612,26
Belgium,BEL,01/01/2020,0,0
Belgium,BEL,02/01/2020,0,0
Belgium,BEL,03/01/2020,0,0
Belgium,BEL,04/01/2020,0,0
Belgium,BEL,05/01/2020,0,0
Belgium,BEL,06/01/2020,0,0
Belgium,BEL,07/01/2020,0,0
Belgium,BEL,08/01/2020,0,0
Belgium,BEL,09/01/2020,0,0
Belgium,BEL,10/01/2020,0,0
Belgium,BEL,11/01/2020,0,0
Belgium,BEL,12/01/2020,0,0
Belgium,BEL,13/01/2020,0,0
Belgium,BEL,14/01/2020,0,0
Belgium,BEL,15/01/2020,0,0
Belgium,BEL,16/01/2020,0,0
Belgium,BEL,17/01/2020,0,0
Belgium,BEL,18/01/2020,0,0
Belgium,BEL,19/01/2020,0,0
Belgium,BEL,20/01/2020,0,0
Belgium,BEL,21/01/2020,0,0
Belgium,BEL,22/01/2020,0,0
Belgium,BEL,23/01/2020,0,0
Belgium,BEL,24/01/2020,0,0
Belgium,BEL,25/01/2020,0,0
Belgium,BEL,26/01/2020,0,0
Belgium,BEL,27/01/2020,0,0
Belgium,BEL,28/01/2020,0,0
Belgium,BEL,29/01/2020,0,0
Belgium,BEL,30/01/2020,0,0
Belgium,BEL,31/01/2020,0,0
Belgium,BEL,01/02/2020,0,0
Belgium,BEL,02/02/2020,0,0
Belgium,BEL,03/02/2020,0,0
Belgium,BEL,04/02/2020,1,1
Belgium,BEL,05/02/2020,1,0
Belgium,BEL,06/02/2020,1,0
Belgium,BEL,07/02/2020,1,0
Belgium,BEL,08/02/2020,1,0
Belgium,BEL,09/02/2020,1,0
Belgium,BEL,10/02/2020,1,0
Belgium,BEL,11/02/2020,1,0
Belgium,BEL,12/02/2020,1,0
Belgium,BEL,13/02/2020,1,0
Belgium,BEL,14/02/2020,1,0
Belgium,BEL,15/02/2020,1,0
Belgium,BEL,16/02/2020,1,0
Belgium,BEL,17/02/2020,1,0
Belgium,BEL,18/02/2020,1,0
Belgium,BEL,19/02/2020,1,0
Belgium,BEL,20/02/2020,1,0
Belgium,BEL,21/02/2020,1,0
Belgium,BEL,22/02/2020,1,0
Belgium,BEL,23/02/2020,1,0
Belgium,BEL,24/02/2020,1,0
Belgium,BEL,25/02/2020,1,0
Belgium,BEL,26/02/2020,1,0
Belgium,BEL,27/02/2020,1,0
Belgium,BEL,28/02/2020,1,0
Belgium,BEL,29/02/2020,1,0
Belgium,BEL,01/03/2020,1,0
Belgium,BEL,02/03/2020,2,1
Belgium,BEL,03/03/2020,8,6
Belgium,BEL,04/03/2020,13,5
Belgium,BEL,05/03/2020,23,10
Belgium,BEL,06/03/2020,50,27
Belgium,BEL,07/03/2020,109,59
Belgium,BEL,08/03/2020,169,60
Belgium,BEL,09/03/2020,200,31
Belgium,BEL,10/03/2020,239,39
Belgium,BEL,11/03/2020,267,28
Belgium,BEL,12/03/2020,314,47
Belgium,BEL,13/03/2020,399,85
Belgium,BEL,14/03/2020,559,160
Belgium,BEL,15/03/2020,689,130
Belgium,BEL,16/03/2020,886,197
Belgium,BEL,17/03/2020,1085,199
Belgium,BEL,18/03/2020,1243,158
Belgium,BEL,19/03/2020,1486,243
Belgium,BEL,20/03/2020,1795,309
Belgium,BEL,21/03/2020,2257,462
Belgium,BEL,22/03/2020,2815,558
Belgium,BEL,23/03/2020,3401,586
Belgium,BEL,24/03/2020,3743,342
Belgium,BEL,25/03/2020,4269,526
Belgium,BEL,26/03/2020,4937,668
Belgium,BEL,27/03/2020,6235,1298
Belgium,BEL,28/03/2020,7284,1049
Belgium,BEL,29/03/2020,9134,1850
Belgium,BEL,30/03/2020,10836,1702
Belgium,BEL,31/03/2020,11899,1063
Belgium,BEL,01/04/2020,12775,876
Belgium,BEL,02/04/2020,13964,1189
Belgium,BEL,03/04/2020,15348,1384
Belgium,BEL,04/04/2020,16770,1422
Belgium,BEL,05/04/2020,18431,1661
Belgium,BEL,06/04/2020,19691,1260
Belgium,BEL,07/04/2020,20814,1123
Belgium,BEL,08/04/2020,22194,1380
Belgium,BEL,09/04/2020,23403,1209
Belgium,BEL,10/04/2020,24983,1580
Belgium,BEL,11/04/2020,26667,1684
Belgium,BEL,12/04/2020,28018,1351
Belgium,BEL,13/04/2020,29647,1629
Belgium,BEL,14/04/2020,30589,942
Belgium,BEL,15/04/2020,31119,530
Belgium,BEL,16/04/2020,33573,2454
Belgium,BEL,17/04/2020,34809,1236
Belgium,BEL,18/04/2020,36138,1329
Belgium,BEL,19/04/2020,37183,1045
Belgium,BEL,20/04/2020,38496,1313
Brazil,BRA,01/01/2020,0,0
Brazil,BRA,02/01/2020,0,0
Brazil,BRA,03/01/2020,0,0
Brazil,BRA,04/01/2020,0,0
Brazil,BRA,05/01/2020,0,0
Brazil,BRA,06/01/2020,0,0
Brazil,BRA,07/01/2020,0,0
Brazil,BRA,08/01/2020,0,0
Brazil,BRA,09/01/2020,0,0
Brazil,BRA,10/01/2020,0,0
Brazil,BRA,11/01/2020,0,0
Brazil,BRA,12/01/2020,0,0
Brazil,BRA,13/01/2020,0,0
Brazil,BRA,14/01/2020,0,0
Brazil,BRA,15/01/2020,0,0
Brazil,BRA,16/01/2020,0,0
Brazil,BRA,17/01/2020,0,0
Brazil,BRA,18/01/2020,0,0
Brazil,BRA,19/01/2020,0,0
Brazil,BRA,20/01/2020,0,0
Brazil,BRA,21/01/2020,0,0
Brazil,BRA,22/01/2020,0,0
Brazil,BRA,23/01/2020,0,0
Brazil,BRA,24/01/2020,0,0
Brazil,BRA,25/01/2020,0,0
Brazil,BRA,26/01/2020,0,0
Brazil,BRA,27/01/2020,0,0
Brazil,BRA,28/01/2020,0,0
Brazil,BRA,29/01/2020,0,0
Brazil,BRA,30/01/2020,0,0
Brazil,BRA,31/01/2020,0,0
Brazil,BRA,01/02/2020,0,0
Brazil,BRA,02/02/2020,0,0
Brazil,BRA,03/02/2020,0,0
Brazil,BRA,04/02/2020,0,0
Brazil,BRA,05/02/2020,0,0
Brazil,BRA,06/02/2020,0,0
Brazil,BRA,07/02/2020,0,0
Brazil,BRA,08/02/2020,0,0
Brazil,BRA,09/02/2020,0,0
Brazil,BRA,10/02/2020,0,0
Brazil,BRA,11/02/2020,0,0
Brazil,BRA,12/02/2020,0,0
Brazil,BRA,13/02/2020,0,0
Brazil,BRA,14/02/2020,0,0
Brazil,BRA,15/02/2020,0,0
Brazil,BRA,16/02/2020,0,0
Brazil,BRA,17/02/2020,0,0
Brazil,BRA,18/02/2020,0,0
Brazil,BRA,19/02/2020,0,0
Brazil,BRA,20/02/2020,0,0
Brazil,BRA,21/02/2020,0,0
Brazil,BRA,22/02/2020,0,0
Brazil,BRA,23/02/2020,0,0
Brazil,BRA,24/02/2020,0,0
Brazil,BRA,25/02/2020,0,0
Brazil,BRA,26/02/2020,1,1
Brazil,BRA,27/02/2020,1,0
Brazil,BRA,28/02/2020,1,0
Brazil,BRA,29/02/2020,1,0
Brazil,BRA,01/03/2020,2,1
Brazil,BRA,02/03/2020,2,0
Brazil,BRA,05/03/2020,3,1
Brazil,BRA,06/03/2020,8,5
Brazil,BRA,07/03/2020,13,5
Brazil,BRA,08/03/2020,13,0
Brazil,BRA,09/03/2020,25,12
Brazil,BRA,11/03/2020,34,9
Brazil,BRA,12/03/2020,52,18
Brazil,BRA,13/03/2020,77,25
Brazil,BRA,14/03/2020,98,21
Brazil,BRA,15/03/2020,121,23
Brazil,BRA,16/03/2020,200,79
Brazil,BRA,17/03/2020,234,34
Brazil,BRA,18/03/2020,291,57
Brazil,BRA,19/03/2020,428,137
Brazil,BRA,20/03/2020,621,193
Brazil,BRA,21/03/2020,904,283
Brazil,BRA,22/03/2020,1128,224
Brazil,BRA,23/03/2020,1546,418
Brazil,BRA,24/03/2020,1891,345
Brazil,BRA,25/03/2020,2201,310
Brazil,BRA,26/03/2020,2433,232
Brazil,BRA,27/03/2020,2915,482
Brazil,BRA,28/03/2020,3417,502
Brazil,BRA,29/03/2020,3904,487
Brazil,BRA,30/03/2020,4256,352
Brazil,BRA,31/03/2020,4579,323
Brazil,BRA,01/04/2020,5717,1138
Brazil,BRA,02/04/2020,6836,1119
Brazil,BRA,03/04/2020,7910,1074
Brazil,BRA,04/04/2020,9056,1146
Brazil,BRA,05/04/2020,10278,1222
Brazil,BRA,06/04/2020,11130,852
Brazil,BRA,07/04/2020,12056,926
Brazil,BRA,08/04/2020,13717,1661
Brazil,BRA,09/04/2020,15927,2210
Brazil,BRA,10/04/2020,17857,1930
Brazil,BRA,11/04/2020,19638,1781
Brazil,BRA,12/04/2020,20727,1089
Brazil,BRA,13/04/2020,22169,1442
Brazil,BRA,14/04/2020,23430,1261
Brazil,BRA,15/04/2020,25262,1832
Brazil,BRA,16/04/2020,28320,3058
Brazil,BRA,17/04/2020,30425,2105
Brazil,BRA,18/04/2020,33682,3257
Brazil,BRA,19/04/2020,36599,2917
Brazil,BRA,20/04/2020,38654,2055
China,CHN,01/01/2020,27,0
China,CHN,02/01/2020,27,0
China,CHN,03/01/2020,44,17
China,CHN,04/01/2020,44,0
China,CHN,05/01/2020,59,15
China,CHN,06/01/2020,59,0
China,CHN,07/01/2020,59,0
China,CHN,08/01/2020,59,0
China,CHN,09/01/2020,59,0
China,CHN,10/01/2020,59,0
China,CHN,11/01/2020,59,0
China,CHN,12/01/2020,59,0
China,CHN,13/01/2020,59,0
China,CHN,14/01/2020,59,0
China,CHN,15/01/2020,59,0
China,CHN,16/01/2020,59,0
China,CHN,17/01/2020,63,4
China,CHN,18/01/2020,80,17
China,CHN,19/01/2020,216,136
China,CHN,20/01/2020,235,19
China,CHN,21/01/2020,386,151
China,CHN,22/01/2020,526,140
China,CHN,23/01/2020,623,97
China,CHN,24/01/2020,882,259
China,CHN,25/01/2020,1323,441
China,CHN,26/01/2020,1988,665
China,CHN,27/01/2020,2775,787
China,CHN,28/01/2020,4528,1753
China,CHN,29/01/2020,5994,1466
China,CHN,30/01/2020,7734,1740
China,CHN,31/01/2020,9714,1980
China,CHN,01/02/2020,11809,2095
China,CHN,02/02/2020,14399,2590
China,CHN,03/02/2020,17211,2812
China,CHN,04/02/2020,20448,3237
China,CHN,05/02/2020,24320,3872
China,CHN,06/02/2020,28047,3727
China,CHN,07/02/2020,31207,3160
China,CHN,08/02/2020,34625,3418
China,CHN,09/02/2020,37232,2607
China,CHN,10/02/2020,40206,2974
China,CHN,11/02/2020,42696,2490
China,CHN,12/02/2020,44724,2028
China,CHN,13/02/2020,59865,15141
China,CHN,14/02/2020,64021,4156
China,CHN,15/02/2020,66559,2538
China,CHN,16/02/2020,68566,2007
China,CHN,17/02/2020,70618,2052
China,CHN,18/02/2020,72508,1890
China,CHN,19/02/2020,74258,1750
China,CHN,20/02/2020,74652,394
China,CHN,21/02/2020,75543,891
China,CHN,22/02/2020,76369,826
China,CHN,23/02/2020,77016,647
China,CHN,24/02/2020,77234,218
China,CHN,25/02/2020,77749,515
China,CHN,26/02/2020,78159,410
China,CHN,27/02/2020,78598,439
China,CHN,28/02/2020,78927,329
China,CHN,29/02/2020,79355,428
China,CHN,01/03/2020,79929,574
China,CHN,02/03/2020,80134,205
China,CHN,03/03/2020,80261,127
China,CHN,04/03/2020,80380,119
China,CHN,05/03/2020,80497,117
China,CHN,06/03/2020,80667,170
China,CHN,07/03/2020,80768,101
China,CHN,08/03/2020,80814,46
China,CHN,09/03/2020,80859,45
China,CHN,10/03/2020,80879,20
China,CHN,11/03/2020,80908,29
China,CHN,12/03/2020,80932,24
China,CHN,13/03/2020,80954,22
China,CHN,14/03/2020,80973,19
China,CHN,15/03/2020,80995,22
China,CHN,16/03/2020,81020,25
China,CHN,17/03/2020,81063,43
China,CHN,18/03/2020,81086,23
China,CHN,19/03/2020,81130,44
China,CHN,20/03/2020,81229,99
China,CHN,21/03/2020,81281,52
China,CHN,22/03/2020,81346,65
China,CHN,23/03/2020,81484,138
China,CHN,24/03/2020,81553,69
China,CHN,25/03/2020,81631,78
China,CHN,26/03/2020,81733,102
China,CHN,27/03/2020,81827,94
China,CHN,28/03/2020,81946,119
China,CHN,29/03/2020,82059,113
China,CHN,30/03/2020,82157,98
China,CHN,31/03/2020,82241,84
China,CHN,01/04/2020,82295,54
China,CHN,02/04/2020,82395,100
China,CHN,03/04/2020,82465,70
China,CHN,04/04/2020,82527,62
China,CHN,05/04/2020,82575,48
China,CHN,06/04/2020,82642,67
China,CHN,07/04/2020,82698,56
China,CHN,08/04/2020,82784,86
China,CHN,09/04/2020,82870,86
China,CHN,10/04/2020,82925,55
China,CHN,11/04/2020,83004,79
China,CHN,12/04/2020,83097,93
China,CHN,13/04/2020,83209,112
China,CHN,14/04/2020,83303,94
China,CHN,15/04/2020,83352,49
China,CHN,16/04/2020,83402,50
China,CHN,17/04/2020,83754,352
China,CHN,18/04/2020,83785,31
China,CHN,19/04/2020,83803,18
China,CHN,20/04/2020,83817,14
Iran,IRN,01/01/2020,0,0
Iran,IRN,02/01/2020,0,0
Iran,IRN,03/01/2020,0,0
Iran,IRN,04/01/2020,0,0
Iran,IRN,05/01/2020,0,0
Iran,IRN,06/01/2020,0,0
Iran,IRN,07/01/2020,0,0
Iran,IRN,08/01/2020,0,0
Iran,IRN,09/01/2020,0,0
Iran,IRN,10/01/2020,0,0
Iran,IRN,11/01/2020,0,0
Iran,IRN,12/01/2020,0,0
Iran,IRN,13/01/2020,0,0
Iran,IRN,14/01/2020,0,0
Iran,IRN,15/01/2020,0,0
Iran,IRN,16/01/2020,0,0
Iran,IRN,17/01/2020,0,0
Iran,IRN,18/01/2020,0,0
Iran,IRN,19/01/2020,0,0
Iran,IRN,20/01/2020,0,0
Iran,IRN,21/01/2020,0,0
Iran,IRN,22/01/2020,0,0
Iran,IRN,23/01/2020,0,0
Iran,IRN,24/01/2020,0,0
Iran,IRN,25/01/2020,0,0
Iran,IRN,26/01/2020,0,0
Iran,IRN,27/01/2020,0,0
Iran,IRN,28/01/2020,0,0
Iran,IRN,29/01/2020,0,0
Iran,IRN,30/01/2020,0,0
Iran,IRN,31/01/2020,0,0
Iran,IRN,01/02/2020,0,0
Iran,IRN,02/02/2020,0,0
Iran,IRN,03/02/2020,0,0
Iran,IRN,04/02/2020,0,0
Iran,IRN,05/02/2020,0,0
Iran,IRN,06/02/2020,0,0
Iran,IRN,07/02/2020,0,0
Iran,IRN,08/02/2020,0,0
Iran,IRN,09/02/2020,0,0
Iran,IRN,10/02/2020,0,0
Iran,IRN,11/02/2020,0,0
Iran,IRN,12/02/2020,0,0
Iran,IRN,13/02/2020,0,0
Iran,IRN,14/02/2020,0,0
Iran,IRN,15/02/2020,0,0
Iran,IRN,16/02/2020,0,0
Iran,IRN,17/02/2020,0,0
Iran,IRN,18/02/2020,0,0
Iran,IRN,19/02/2020,0,0
Iran,IRN,20/02/2020,2,2
Iran,IRN,21/02/2020,5,3
Iran,IRN,22/02/2020,18,13
Iran,IRN,23/02/2020,28,10
Iran,IRN,24/02/2020,43,15
Iran,IRN,25/02/2020,61,18
Iran,IRN,26/02/2020,95,34
Iran,IRN,27/02/2020,139,44
Iran,IRN,28/02/2020,245,106
Iran,IRN,29/02/2020,388,143
Iran,IRN,01/03/2020,593,205
Iran,IRN,02/03/2020,978,385
Iran,IRN,03/03/2020,1501,523
Iran,IRN,04/03/2020,2336,835
Iran,IRN,05/03/2020,2922,586
Iran,IRN,06/03/2020,3513,591
Iran,IRN,07/03/2020,4747,1234
Iran,IRN,08/03/2020,5823,1076
Iran,IRN,09/03/2020,6566,743
Iran,IRN,10/03/2020,7161,595
Iran,IRN,11/03/2020,8042,881
Iran,IRN,12/03/2020,9000,958
Iran,IRN,13/03/2020,10075,1075
Iran,IRN,14/03/2020,11364,1289
Iran,IRN,15/03/2020,12729,1365
Iran,IRN,16/03/2020,13938,1209
Iran,IRN,17/03/2020,14991,1053
Iran,IRN,18/03/2020,16169,1178
Iran,IRN,19/03/2020,17361,1192
Iran,IRN,20/03/2020,18407,1046
Iran,IRN,21/03/2020,19644,1237
Iran,IRN,22/03/2020,20610,966
Iran,IRN,23/03/2020,21638,1028
Iran,IRN,24/03/2020,23049,1411
Iran,IRN,25/03/2020,24811,1762
Iran,IRN,26/03/2020,27017,2206
Iran,IRN,27/03/2020,29406,2389
Iran,IRN,28/03/2020,32332,2926
Iran,IRN,29/03/2020,35408,3076
Iran,IRN,30/03/2020,38309,2901
Iran,IRN,31/03/2020,41495,3186
Iran,IRN,01/04/2020,44606,3111
Iran,IRN,02/04/2020,47593,2987
Iran,IRN,03/04/2020,50468,2875
Iran,IRN,04/04/2020,50468,0
Iran,IRN,05/04/2020,55743,5275
Iran,IRN,06/04/2020,58226,2483
Iran,IRN,07/04/2020,60500,2274
Iran,IRN,08/04/2020,62589,2089
Iran,IRN,09/04/2020,64586,1997
Iran,IRN,10/04/2020,66220,1634
Iran,IRN,11/04/2020,68192,1972
Iran,IRN,12/04/2020,70029,1837
Iran,IRN,13/04/2020,71686,1657
Iran,IRN,14/04/2020,73303,1617
Iran,IRN,15/04/2020,74877,1574
Iran,IRN,16/04/2020,76389,1512
Iran,IRN,17/04/2020,77995,1606
Iran,IRN,18/04/2020,79494,1499
Iran,IRN,19/04/2020,80868,1374
Iran,IRN,20/04/2020,82211,1343
Italy,ITA,01/01/2020,0,0
Italy,ITA,02/01/2020,0,0
Italy,ITA,03/01/2020,0,0
Italy,ITA,04/01/2020,0,0
Italy,ITA,05/01/2020,0,0
Italy,ITA,06/01/2020,0,0
Italy,ITA,07/01/2020,0,0
Italy,ITA,08/01/2020,0,0
Italy,ITA,09/01/2020,0,0
Italy,ITA,10/01/2020,0,0
Italy,ITA,11/01/2020,0,0
Italy,ITA,12/01/2020,0,0
Italy,ITA,13/01/2020,0,0
Italy,ITA,14/01/2020,0,0
Italy,ITA,15/01/2020,0,0
Italy,ITA,16/01/2020,0,0
Italy,ITA,17/01/2020,0,0
Italy,ITA,18/01/2020,0,0
Italy,ITA,19/01/2020,0,0
Italy,ITA,20/01/2020,0,0
Italy,ITA,21/01/2020,0,0
Italy,ITA,22/01/2020,0,0
Italy,ITA,23/01/2020,0,0
Italy,ITA,24/01/2020,0,0
Italy,ITA,25/01/2020,0,0
Italy,ITA,26/01/2020,0,0
Italy,ITA,27/01/2020,0,0
Italy,ITA,28/01/2020,0,0
Italy,ITA,29/01/2020,0,0
Italy,ITA,30/01/2020,0,0
Italy,ITA,31/01/2020,3,3
Italy,ITA,01/02/2020,3,0
Italy,ITA,02/02/2020,3,0
Italy,ITA,03/02/2020,3,0
Italy,ITA,04/02/2020,3,0
Italy,ITA,05/02/2020,3,0
Italy,ITA,06/02/2020,3,0
Italy,ITA,07/02/2020,3,0
Italy,ITA,08/02/2020,3,0
Italy,ITA,09/02/2020,3,0
Italy,ITA,10/02/2020,3,0
Italy,ITA,11/02/2020,3,0
Italy,ITA,12/02/2020,3,0
Italy,ITA,13/02/2020,3,0
Italy,ITA,14/02/2020,3,0
Italy,ITA,15/02/2020,3,0
Italy,ITA,16/02/2020,3,0
Italy,ITA,17/02/2020,3,0
Italy,ITA,18/02/2020,3,0
Italy,ITA,19/02/2020,3,0
Italy,ITA,20/02/2020,3,0
Italy,ITA,21/02/2020,3,0
Italy,ITA,22/02/2020,17,14
Italy,ITA,23/02/2020,79,62
Italy,ITA,24/02/2020,132,53
Italy,ITA,25/02/2020,229,97
Italy,ITA,26/02/2020,322,93
Italy,ITA,27/02/2020,400,78
Italy,ITA,28/02/2020,650,250
Italy,ITA,29/02/2020,888,238
Italy,ITA,01/03/2020,1128,240
Italy,ITA,02/03/2020,1689,561
Italy,ITA,03/03/2020,2036,347
Italy,ITA,04/03/2020,2502,466
Italy,ITA,05/03/2020,3089,587
Italy,ITA,06/03/2020,3858,769
Italy,ITA,07/03/2020,4636,778
Italy,ITA,08/03/2020,5883,1247
Italy,ITA,09/03/2020,7375,1492
Italy,ITA,10/03/2020,9172,1797
Italy,ITA,11/03/2020,10149,977
Italy,ITA,12/03/2020,12462,2313
Italy,ITA,13/03/2020,15113,2651
Italy,ITA,14/03/2020,17660,2547
Italy,ITA,15/03/2020,21157,3497
Italy,ITA,16/03/2020,23980,2823
Italy,ITA,17/03/2020,27980,4000
Italy,ITA,18/03/2020,31506,3526
Italy,ITA,19/03/2020,35713,4207
Italy,ITA,20/03/2020,41035,5322
Italy,ITA,21/03/2020,47021,5986
Italy,ITA,22/03/2020,53578,6557
Italy,ITA,23/03/2020,59138,5560
Italy,ITA,24/03/2020,63927,4789
Italy,ITA,25/03/2020,69176,5249
Italy,ITA,26/03/2020,74386,5210
Italy,ITA,27/03/2020,80539,6153
Italy,ITA,28/03/2020,86498,5959
Italy,ITA,29/03/2020,92472,5974
Italy,ITA,30/03/2020,97689,5217
Italy,ITA,31/03/2020,101739,4050
Italy,ITA,01/04/2020,105792,4053
Italy,ITA,02/04/2020,110574,4782
Italy,ITA,03/04/2020,115242,4668
Italy,ITA,04/04/2020,119827,4585
Italy,ITA,05/04/2020,124632,4805
Italy,ITA,06/04/2020,128948,4316
Italy,ITA,07/04/2020,132547,3599
Italy,ITA,08/04/2020,135586,3039
Italy,ITA,09/04/2020,139422,3836
Italy,ITA,10/04/2020,143626,4204
Italy,ITA,11/04/2020,147577,3951
Italy,ITA,12/04/2020,152271,4694
Italy,ITA,13/04/2020,156363,4092
Italy,ITA,14/04/2020,159516,3153
Italy,ITA,15/04/2020,162488,2972
Italy,ITA,16/04/2020,165155,2667
Italy,ITA,17/04/2020,168941,3786
Italy,ITA,18/04/2020,172434,3493
Italy,ITA,19/04/2020,175925,3491
Italy,ITA,20/04/2020,178972,3047
South Africa,ZAF,21/03/2020,205,55
South Africa,ZAF,22/03/2020,240,35
South Africa,ZAF,23/03/2020,274,34
South Africa,ZAF,24/03/2020,402,128
South Africa,ZAF,25/03/2020,557,155
South Africa,ZAF,26/03/2020,709,152
South Africa,ZAF,27/03/2020,927,218
South Africa,ZAF,28/03/2020,1170,243
South Africa,ZAF,29/03/2020,1187,17
South Africa,ZAF,30/03/2020,1280,93
South Africa,ZAF,31/03/2020,1326,46
South Africa,ZAF,01/04/2020,1353,27
South Africa,ZAF,02/04/2020,1380,27
South Africa,ZAF,03/04/2020,1462,82
South Africa,ZAF,04/04/2020,1505,43
South Africa,ZAF,05/04/2020,1585,80
South Africa,ZAF,06/04/2020,1655,70
South Africa,ZAF,07/04/2020,1686,31
South Africa,ZAF,08/04/2020,1749,63
South Africa,ZAF,09/04/2020,1845,96
South Africa,ZAF,10/04/2020,1934,89
South Africa,ZAF,11/04/2020,2003,69
South Africa,ZAF,12/04/2020,2028,25
South Africa,ZAF,13/04/2020,2173,145
South Africa,ZAF,14/04/2020,2272,99
South Africa,ZAF,15/04/2020,2415,143
South Africa,ZAF,16/04/2020,2506,91
South Africa,ZAF,17/04/2020,2605,99
South Africa,ZAF,18/04/2020,2783,178
South Africa,ZAF,19/04/2020,3034,251
South Africa,ZAF,20/04/2020,3158,124
Spain,ESP,01/01/2020,0,0
Spain,ESP,02/01/2020,0,0
Spain,ESP,03/01/2020,0,0
Spain,ESP,04/01/2020,0,0
Spain,ESP,05/01/2020,0,0
Spain,ESP,06/01/2020,0,0
Spain,ESP,07/01/2020,0,0
Spain,ESP,08/01/2020,0,0
Spain,ESP,09/01/2020,0,0
Spain,ESP,10/01/2020,0,0
Spain,ESP,11/01/2020,0,0
Spain,ESP,12/01/2020,0,0
Spain,ESP,13/01/2020,0,0
Spain,ESP,14/01/2020,0,0
