country,Code,date,total,daily
Australia,AUS,16/03/2020,5,2
Australia,AUS,17/03/2020,5,0
Australia,AUS,18/03/2020,5,0
Australia,AUS,19/03/2020,6,1
Australia,AUS,20/03/2020,6,0
Australia,AUS,21/03/2020,7,1
Australia,AUS,22/03/2020,7,0
Australia,AUS,23/03/2020,7,0
Australia,AUS,24/03/2020,7,0
Australia,AUS,25/03/2020,8,1
Australia,AUS,26/03/2020,11,3
Australia,AUS,27/03/2020,13,2
Australia,AUS,28/03/2020,13,0
Australia,AUS,29/03/2020,14,1
Australia,AUS,30/03/2020,16,2
Australia,AUS,31/03/2020,19,3
Australia,AUS,01/04/2020,20,1
Australia,AUS,02/04/2020,21,1
Australia,AUS,03/04/2020,23,2
Australia,AUS,04/04/2020,30,7
Australia,AUS,05/04/2020,34,4
Australia,AUS,06/04/2020,36,2
Australia,AUS,07/04/2020,42,6
Australia,AUS,08/04/2020,45,3
Australia,AUS,09/04/2020,50,5
Australia,AUS,10/04/2020,52,2
Australia,AUS,11/04/2020,54,2
Australia,AUS,12/04/2020,57,3
Australia,AUS,13/04/2020,61,4
Australia,AUS,14/04/2020,61,0
Australia,AUS,15/04/2020,61,0
Australia,AUS,16/04/2020,63,2
Australia,AUS,17/04/2020,63,0
Australia,AUS,18/04/2020,67,4
Australia,AUS,19/04/2020,69,2
Australia,AUS,20/04/2020,70,1
Australia,AUS,21/04/2020,71,1
Australia,AUS,22/04/2020,74,3
Australia,AUS,23/04/2020,74,0
Australia,AUS,24/04/2020,75,1
Australia,AUS,25/04/2020,79,4
Australia,AUS,26/04/2020,81,2
Australia,AUS,27/04/2020,83,2
Australia,AUS,28/04/2020,84,1
Australia,AUS,29/04/2020,88,4
Australia,AUS,30/04/2020,90,2
Australia,AUS,01/05/2020,92,2
Australia,AUS,02/05/2020,93,1
Australia,AUS,03/05/2020,93,0
Australia,AUS,04/05/2020,95,2
Belgium,BEL,01/01/2020,0,0
Belgium,BEL,02/01/2020,0,0
Belgium,BEL,03/01/2020,0,0
Belgium,BEL,04/01/2020,0,0
Belgium,BEL,05/01/2020,0,0
Belgium,BEL,06/01/2020,0,0
Belgium,BEL,07/01/2020,0,0
Belgium,BEL,08/01/2020,0,0
Belgium,BEL,09/01/2020,0,0
Belgium,BEL,10/01/2020,0,0
Belgium,BEL,11/01/2020,0,0
Belgium,BEL,12/01/2020,0,0
Belgium,BEL,13/01/2020,0,0
Belgium,BEL,14/01/2020,0,0
Belgium,BEL,15/01/2020,0,0
Belgium,BEL,16/01/2020,0,0
Belgium,BEL,17/01/2020,0,0
Belgium,BEL,18/01/2020,0,0
Belgium,BEL,19/01/2020,0,0
Belgium,BEL,20/01/2020,0,0
Belgium,BEL,21/01/2020,0,0
Belgium,BEL,22/01/2020,0,0
Belgium,BEL,23/01/2020,0,0
Belgium,BEL,24/01/2020,0,0
Belgium,BEL,25/01/2020,0,0
Belgium,BEL,26/01/2020,0,0
Belgium,BEL,27/01/2020,0,0
Belgium,BEL,28/01/2020,0,0
Belgium,BEL,29/01/2020,0,0
Belgium,BEL,30/01/2020,0,0
Belgium,BEL,31/01/2020,0,0
Belgium,BEL,01/02/2020,0,0
Belgium,BEL,02/02/2020,0,0
Belgium,BEL,03/02/2020,0,0
Belgium,BEL,04/02/2020,0,0
Belgium,BEL,05/02/2020,0,0
Belgium,BEL,06/02/2020,0,0
Belgium,BEL,07/02/2020,0,0
Belgium,BEL,08/02/2020,0,0
Belgium,BEL,09/02/2020,0,0
Belgium,BEL,10/02/2020,0,0
Belgium,BEL,11/02/2020,0,0
Belgium,BEL,12/02/2020,0,0
Belgium,BEL,13/02/2020,0,0
Belgium,BEL,14/02/2020,0,0
Belgium,BEL,15/02/2020,0,0
Belgium,BEL,16/02/2020,0,0
Belgium,BEL,17/02/2020,0,0
Belgium,BEL,18/02/2020,0,0
Belgium,BEL,19/02/2020,0,0
Belgium,BEL,20/02/2020,0,0
Belgium,BEL,21/02/2020,0,0
Belgium,BEL,22/02/2020,0,0
Belgium,BEL,23/02/2020,0,0
Belgium,BEL,24/02/2020,0,0
Belgium,BEL,25/02/2020,0,0
Belgium,BEL,26/02/2020,0,0
Belgium,BEL,27/02/2020,0,0
Belgium,BEL,28/02/2020,0,0
Belgium,BEL,29/02/2020,0,0
Belgium,BEL,01/03/2020,0,0
Belgium,BEL,02/03/2020,0,0
Belgium,BEL,03/03/2020,0,0
Belgium,BEL,04/03/2020,0,0
Belgium,BEL,05/03/2020,0,0
Belgium,BEL,06/03/2020,0,0
Belgium,BEL,07/03/2020,0,0
Belgium,BEL,08/03/2020,0,0
Belgium,BEL,09/03/2020,0,0
Belgium,BEL,10/03/2020,0,0
Belgium,BEL,11/03/2020,0,0
Belgium,BEL,12/03/2020,3,3
Belgium,BEL,13/03/2020,3,0
Belgium,BEL,14/03/2020,3,0
Belgium,BEL,15/03/2020,4,1
Belgium,BEL,16/03/2020,4,0
Belgium,BEL,17/03/2020,5,1
Belgium,BEL,18/03/2020,5,0
Belgium,BEL,19/03/2020,14,9
Belgium,BEL,20/03/2020,21,7
Belgium,BEL,21/03/2020,37,16
Belgium,BEL,22/03/2020,67,30
Belgium,BEL,23/03/2020,75,8
Belgium,BEL,24/03/2020,88,13
Belgium,BEL,25/03/2020,122,34
Belgium,BEL,26/03/2020,178,56
Belgium,BEL,27/03/2020,220,42
Belgium,BEL,28/03/2020,289,69
Belgium,BEL,29/03/2020,353,64
Belgium,BEL,30/03/2020,431,78
Belgium,BEL,31/03/2020,513,82
Belgium,BEL,01/04/2020,705,192
Belgium,BEL,02/04/2020,828,123
Belgium,BEL,03/04/2020,1011,183
Belgium,BEL,04/04/2020,1143,132
Belgium,BEL,05/04/2020,1283,140
Belgium,BEL,06/04/2020,1447,164
Belgium,BEL,07/04/2020,1632,185
Belgium,BEL,08/04/2020,2035,403
Belgium,BEL,09/04/2020,2240,205
Belgium,BEL,10/04/2020,2523,283
Belgium,BEL,11/04/2020,3019,496
Belgium,BEL,12/04/2020,3346,327
Belgium,BEL,13/04/2020,3600,254
Belgium,BEL,14/04/2020,3903,303
Belgium,BEL,15/04/2020,4157,254
Belgium,BEL,16/04/2020,4440,283
Belgium,BEL,17/04/2020,4857,417
Belgium,BEL,18/04/2020,5163,306
Belgium,BEL,19/04/2020,5453,290
Belgium,BEL,20/04/2020,5683,230
Belgium,BEL,21/04/2020,5828,145
Belgium,BEL,22/04/2020,5998,170
Belgium,BEL,23/04/2020,6262,264
Belgium,BEL,24/04/2020,6490,228
Belgium,BEL,25/04/2020,6679,189
Belgium,BEL,26/04/2020,6917,238
Belgium,BEL,27/04/2020,7094,177
Belgium,BEL,28/04/2020,7207,113
Belgium,BEL,29/04/2020,7331,124
Belgium,BEL,30/04/2020,7501,170
Belgium,BEL,01/05/2020,7594,93
Belgium,BEL,02/05/2020,7703,109
Belgium,BEL,03/05/2020,7765,62
Belgium,BEL,04/05/2020,7844,79
Brazil,BRA,01/01/2020,0,0
Brazil,BRA,02/01/2020,0,0
Brazil,BRA,03/01/2020,0,0
Brazil,BRA,04/01/2020,0,0
Brazil,BRA,05/01/2020,0,0
Brazil,BRA,06/01/2020,0,0
Brazil,BRA,07/01/2020,0,0
Brazil,BRA,08/01/2020,0,0
Brazil,BRA,09/01/2020,0,0
Brazil,BRA,10/01/2020,0,0
Brazil,BRA,11/01/2020,0,0
Brazil,BRA,12/01/2020,0,0
Brazil,BRA,13/01/2020,0,0
Brazil,BRA,14/01/2020,0,0
Brazil,BRA,15/01/2020,0,0
Brazil,BRA,16/01/2020,0,0
Brazil,BRA,17/01/2020,0,0
Brazil,BRA,18/01/2020,0,0
Brazil,BRA,19/01/2020,0,0
Brazil,BRA,20/01/2020,0,0
Brazil,BRA,21/01/2020,0,0
Brazil,BRA,22/01/2020,0,0
Brazil,BRA,23/01/2020,0,0
Brazil,BRA,24/01/2020,0,0
Brazil,BRA,25/01/2020,0,0
Brazil,BRA,26/01/2020,0,0
Brazil,BRA,27/01/2020,0,0
Brazil,BRA,28/01/2020,0,0
Brazil,BRA,29/01/2020,0,0
Brazil,BRA,30/01/2020,0,0
Brazil,BRA,31/01/2020,0,0
Brazil,BRA,01/02/2020,0,0
Brazil,BRA,02/02/2020,0,0
Brazil,BRA,03/02/2020,0,0
Brazil,BRA,04/02/2020,0,0
Brazil,BRA,05/02/2020,0,0
Brazil,BRA,06/02/2020,0,0
Brazil,BRA,07/02/2020,0,0
Brazil,BRA,08/02/2020,0,0
Brazil,BRA,09/02/2020,0,0
Brazil,BRA,10/02/2020,0,0
Brazil,BRA,11/02/2020,0,0
Brazil,BRA,12/02/2020,0,0
Brazil,BRA,13/02/2020,0,0
Brazil,BRA,14/02/2020,0,0
Brazil,BRA,15/02/2020,0,0
Brazil,BRA,16/02/2020,0,0
Brazil,BRA,17/02/2020,0,0
Brazil,BRA,18/02/2020,0,0
Brazil,BRA,19/02/2020,0,0
Brazil,BRA,20/02/2020,0,0
Brazil,BRA,21/02/2020,0,0
Brazil,BRA,22/02/2020,0,0
Brazil,BRA,23/02/2020,0,0
Brazil,BRA,24/02/2020,0,0
Brazil,BRA,25/02/2020,0,0
Brazil,BRA,26/02/2020,0,0
Brazil,BRA,27/02/2020,0,0
Brazil,BRA,28/02/2020,0,0
Brazil,BRA,29/02/2020,0,0
Brazil,BRA,01/03/2020,0,0
Brazil,BRA,02/03/2020,0,0
Brazil,BRA,05/03/2020,0,0
Brazil,BRA,06/03/2020,0,0
Brazil,BRA,07/03/2020,0,0
Brazil,BRA,08/03/2020,0,0
Brazil,BRA,09/03/2020,0,0
Brazil,BRA,11/03/2020,0,0
Brazil,BRA,12/03/2020,0,0
Brazil,BRA,13/03/2020,0,0
Brazil,BRA,14/03/2020,0,0
Brazil,BRA,15/03/2020,0,0
Brazil,BRA,16/03/2020,0,0
Brazil,BRA,17/03/2020,0,0
Brazil,BRA,18/03/2020,1,1
Brazil,BRA,19/03/2020,4,3
Brazil,BRA,20/03/2020,6,2
Brazil,BRA,21/03/2020,11,5
Brazil,BRA,22/03/2020,18,7
Brazil,BRA,23/03/2020,25,7
Brazil,BRA,24/03/2020,34,9
Brazil,BRA,25/03/2020,46,12
Brazil,BRA,26/03/2020,57,11
Brazil,BRA,27/03/2020,77,20
Brazil,BRA,28/03/2020,92,15
Brazil,BRA,29/03/2020,114,22
Brazil,BRA,30/03/2020,136,22
Brazil,BRA,31/03/2020,159,23
Brazil,BRA,01/04/2020,201,42
Brazil,BRA,02/04/2020,241,40
Brazil,BRA,03/04/2020,299,58
Brazil,BRA,04/04/2020,359,60
Brazil,BRA,05/04/2020,432,73
Brazil,BRA,06/04/2020,486,54
Brazil,BRA,07/04/2020,553,67
Brazil,BRA,08/04/2020,667,114
Brazil,BRA,09/04/2020,800,133
Brazil,BRA,10/04/2020,941,141
Brazil,BRA,11/04/2020,1056,115
Brazil,BRA,12/04/2020,1124,68
Brazil,BRA,13/04/2020,1223,99
Brazil,BRA,14/04/2020,1328,105
Brazil,BRA,15/04/2020,1532,204
Brazil,BRA,16/04/2020,1736,204
Brazil,BRA,17/04/2020,1924,188
Brazil,BRA,18/04/2020,2141,217
Brazil,BRA,19/04/2020,2347,206
Brazil,BRA,20/04/2020,2462,115
Brazil,BRA,21/04/2020,2575,113
Brazil,BRA,22/04/2020,2741,166
Brazil,BRA,23/04/2020,2906,165
Brazil,BRA,24/04/2020,3313,407
Brazil,BRA,25/04/2020,3670,357
Brazil,BRA,26/04/2020,4016,346
Brazil,BRA,27/04/2020,4205,189
Brazil,BRA,28/04/2020,4543,338
Brazil,BRA,29/04/2020,5017,474
Brazil,BRA,30/04/2020,5466,449
Brazil,BRA,01/05/2020,5901,435
Brazil,BRA,02/05/2020,6329,428
Brazil,BRA,03/05/2020,6750,421
Brazil,BRA,04/05/2020,7025,275
China,CHN,01/01/2020,0,0
China,CHN,02/01/2020,0,0
China,CHN,03/01/2020,0,0
China,CHN,04/01/2020,0,0
China,CHN,05/01/2020,0,0
China,CHN,06/01/2020,0,0
China,CHN,07/01/2020,0,0
China,CHN,08/01/2020,0,0
China,CHN,09/01/2020,0,0
China,CHN,10/01/2020,0,0
China,CHN,11/01/2020,1,1
China,CHN,12/01/2020,1,0
China,CHN,13/01/2020,1,0
China,CHN,14/01/2020,1,0
China,CHN,15/01/2020,2,1
China,CHN,16/01/2020,2,0
China,CHN,17/01/2020,2,0
China,CHN,18/01/2020,2,0
China,CHN,19/01/2020,3,1
China,CHN,20/01/2020,3,0
China,CHN,21/01/2020,6,3
China,CHN,22/01/2020,17,11
China,CHN,23/01/2020,17,0
China,CHN,24/01/2020,26,9
China,CHN,25/01/2020,41,15
China,CHN,26/01/2020,56,15
China,CHN,27/01/2020,81,25
China,CHN,28/01/2020,106,25
China,CHN,29/01/2020,132,26
China,CHN,30/01/2020,170,38
China,CHN,31/01/2020,213,43
China,CHN,01/02/2020,259,46
China,CHN,02/02/2020,304,45
China,CHN,03/02/2020,361,57
China,CHN,04/02/2020,426,65
China,CHN,05/02/2020,492,66
China,CHN,06/02/2020,564,72
China,CHN,07/02/2020,637,73
China,CHN,08/02/2020,723,86
China,CHN,09/02/2020,812,89
China,CHN,10/02/2020,909,97
China,CHN,11/02/2020,1017,108
China,CHN,12/02/2020,1114,97
China,CHN,13/02/2020,1368,254
China,CHN,14/02/2020,1381,13
China,CHN,15/02/2020,1524,143
China,CHN,16/02/2020,1666,142
China,CHN,17/02/2020,1771,105
China,CHN,18/02/2020,1869,98
China,CHN,19/02/2020,2008,139
China,CHN,20/02/2020,2120,112
China,CHN,21/02/2020,2238,118
China,CHN,22/02/2020,2347,109
China,CHN,23/02/2020,2445,98
China,CHN,24/02/2020,2595,150
China,CHN,25/02/2020,2665,70
China,CHN,26/02/2020,2717,52
China,CHN,27/02/2020,2746,29
China,CHN,28/02/2020,2790,44
China,CHN,29/02/2020,2837,47
China,CHN,01/03/2020,2872,35
China,CHN,02/03/2020,2914,42
China,CHN,03/03/2020,2946,32
China,CHN,04/03/2020,2983,37
China,CHN,05/03/2020,3014,31
China,CHN,06/03/2020,3044,30
China,CHN,07/03/2020,3072,28
China,CHN,08/03/2020,3099,27
China,CHN,09/03/2020,3122,23
China,CHN,10/03/2020,3139,17
China,CHN,11/03/2020,3161,22
China,CHN,12/03/2020,3172,11
China,CHN,13/03/2020,3179,7
China,CHN,14/03/2020,3194,15
China,CHN,15/03/2020,3203,9
China,CHN,16/03/2020,3216,13
China,CHN,17/03/2020,3225,9
China,CHN,18/03/2020,3241,16
China,CHN,19/03/2020,3249,8
China,CHN,20/03/2020,3253,4
China,CHN,21/03/2020,3259,6
China,CHN,22/03/2020,3265,6
China,CHN,23/03/2020,3274,9
China,CHN,24/03/2020,3281,7
China,CHN,25/03/2020,3285,4
China,CHN,26/03/2020,3291,6
China,CHN,27/03/2020,3296,5
China,CHN,28/03/2020,3299,3
China,CHN,29/03/2020,3304,5
China,CHN,30/03/2020,3306,2
China,CHN,31/03/2020,3309,3
China,CHN,01/04/2020,3310,1
China,CHN,02/04/2020,3316,6
China,CHN,03/04/2020,3326,10
China,CHN,04/04/2020,3330,4
China,CHN,05/04/2020,3333,3
China,CHN,06/04/2020,3335,2
China,CHN,07/04/2020,3335,0
China,CHN,08/04/2020,3337,2
China,CHN,09/04/2020,3339,2
China,CHN,10/04/2020,3340,1
China,CHN,11/04/2020,3343,3
China,CHN,12/04/2020,3343,0
China,CHN,13/04/2020,3345,2
China,CHN,14/04/2020,3345,0
China,CHN,15/04/2020,3346,1
China,CHN,16/04/2020,3346,0
China,CHN,17/04/2020,4636,1290
China,CHN,18/04/2020,4636,0
China,CHN,19/04/2020,4636,0
China,CHN,20/04/2020,4636,0
China,CHN,21/04/2020,4636,0
China,CHN,22/04/2020,4636,0
China,CHN,23/04/2020,4636,0
China,CHN,24/04/2020,4636,0
China,CHN,25/04/2020,4636,0
China,CHN,26/04/2020,4636,0
China,CHN,27/04/2020,4637,1
China,CHN,28/04/2020,4637,0
China,CHN,29/04/2020,4637,0
China,CHN,30/04/2020,4637,0
China,CHN,01/05/2020,4637,0
China,CHN,02/05/2020,4637,0
China,CHN,03/05/2020,4637,0
China,CHN,04/05/2020,4637,0
Iran,IRN,01/01/2020,0,0
Iran,IRN,02/01/2020,0,0
Iran,IRN,03/01/2020,0,0
Iran,IRN,04/01/2020,0,0
Iran,IRN,05/01/2020,0,0
Iran,IRN,06/01/2020,0,0
Iran,IRN,07/01/2020,0,0
Iran,IRN,08/01/2020,0,0
Iran,IRN,09/01/2020,0,0
Iran,IRN,10/01/2020,0,0
Iran,IRN,11/01/2020,0,0
Iran,IRN,12/01/2020,0,0
Iran,IRN,13/01/2020,0,0
Iran,IRN,14/01/2020,0,0
Iran,IRN,15/01/2020,0,0
Iran,IRN,16/01/2020,0,0
Iran,IRN,17/01/2020,0,0
Iran,IRN,18/01/2020,0,0
Iran,IRN,19/01/2020,0,0
Iran,IRN,20/01/2020,0,0
Iran,IRN,21/01/2020,0,0
Iran,IRN,22/01/2020,0,0
Iran,IRN,23/01/2020,0,0
Iran,IRN,24/01/2020,0,0
Iran,IRN,25/01/2020,0,0
Iran,IRN,26/01/2020,0,0
Iran,IRN,27/01/2020,0,0
Iran,IRN,28/01/2020,0,0
Iran,IRN,29/01/2020,0,0
Iran,IRN,30/01/2020,0,0
Iran,IRN,31/01/2020,0,0
Iran,IRN,01/02/2020,0,0
Iran,IRN,02/02/2020,0,0
Iran,IRN,03/02/2020,0,0
Iran,IRN,04/02/2020,0,0
Iran,IRN,05/02/2020,0,0
Iran,IRN,06/02/2020,0,0
Iran,IRN,07/02/2020,0,0
Iran,IRN,08/02/2020,0,0
Iran,IRN,09/02/2020,0,0
Iran,IRN,10/02/2020,0,0
Iran,IRN,11/02/2020,0,0
Iran,IRN,12/02/2020,0,0
Iran,IRN,13/02/2020,0,0
Iran,IRN,14/02/2020,0,0
Iran,IRN,15/02/2020,0,0
Iran,IRN,16/02/2020,0,0
Iran,IRN,17/02/2020,0,0
Iran,IRN,18/02/2020,0,0
Iran,IRN,19/02/2020,0,0
Iran,IRN,20/02/2020,2,2
Iran,IRN,21/02/2020,2,0
Iran,IRN,22/02/2020,4,2
Iran,IRN,23/02/2020,5,1
Iran,IRN,24/02/2020,8,3
Iran,IRN,25/02/2020,12,4
Iran,IRN,26/02/2020,15,3
Iran,IRN,27/02/2020,19,4
Iran,IRN,28/02/2020,26,7
Iran,IRN,29/02/2020,34,8
Iran,IRN,01/03/2020,43,9
Iran,IRN,02/03/2020,54,11
Iran,IRN,03/03/2020,66,12
Iran,IRN,04/03/2020,77,11
Iran,IRN,05/03/2020,92,15
Iran,IRN,06/03/2020,107,15
Iran,IRN,07/03/2020,124,17
Iran,IRN,08/03/2020,145,21
Iran,IRN,09/03/2020,194,49
Iran,IRN,10/03/2020,237,43
Iran,IRN,11/03/2020,291,54
Iran,IRN,12/03/2020,354,63
Iran,IRN,13/03/2020,429,75
Iran,IRN,14/03/2020,514,85
Iran,IRN,15/03/2020,611,97
Iran,IRN,16/03/2020,724,113
Iran,IRN,17/03/2020,853,129
Iran,IRN,18/03/2020,988,135
Iran,IRN,19/03/2020,1135,147
Iran,IRN,20/03/2020,1284,149
Iran,IRN,21/03/2020,1433,149
Iran,IRN,22/03/2020,1556,123
Iran,IRN,23/03/2020,1685,129
Iran,IRN,24/03/2020,1812,127
Iran,IRN,25/03/2020,1934,122
Iran,IRN,26/03/2020,2077,143
Iran,IRN,27/03/2020,2234,157
Iran,IRN,28/03/2020,2378,144
Iran,IRN,29/03/2020,2517,139
Iran,IRN,30/03/2020,2640,123
Iran,IRN,31/03/2020,2757,117
Iran,IRN,01/04/2020,2898,141
Iran,IRN,02/04/2020,3036,138
Iran,IRN,03/04/2020,3160,124
Iran,IRN,04/04/2020,3160,0
Iran,IRN,05/04/2020,3452,292
Iran,IRN,06/04/2020,3603,151
Iran,IRN,07/04/2020,3739,136
Iran,IRN,08/04/2020,3872,133
Iran,IRN,09/04/2020,3993,121
Iran,IRN,10/04/2020,4110,117
Iran,IRN,11/04/2020,4232,122
Iran,IRN,12/04/2020,4357,125
Iran,IRN,13/04/2020,4474,117
Iran,IRN,14/04/2020,4585,111
Iran,IRN,15/04/2020,4683,98
Iran,IRN,16/04/2020,4777,94
Iran,IRN,17/04/2020,4869,92
Iran,IRN,18/04/2020,4958,89
Iran,IRN,19/04/2020,5031,73
Iran,IRN,20/04/2020,5118,87
Iran,IRN,21/04/2020,5209,91
Iran,IRN,22/04/2020,5297,88
Iran,IRN,23/04/2020,5391,94
Iran,IRN,24/04/2020,5481,90
Iran,IRN,25/04/2020,5574,93
Iran,IRN,26/04/2020,5650,76
Iran,IRN,27/04/2020,5710,60
Iran,IRN,28/04/2020,5806,96
Iran,IRN,29/04/2020,5877,71
Iran,IRN,30/04/2020,5957,80
Iran,IRN,01/05/2020,6028,71
Iran,IRN,02/05/2020,6091,63
Iran,IRN,03/05/2020,6156,65
Iran,IRN,04/05/2020,6203,47
Italy,ITA,01/01/2020,0,0
Italy,ITA,02/01/2020,0,0
Italy,ITA,03/01/2020,0,0
Italy,ITA,04/01/2020,0,0
Italy,ITA,05/01/2020,0,0
Italy,ITA,06/01/2020,0,0
Italy,ITA,07/01/2020,0,0
Italy,ITA,08/01/2020,0,0
Italy,ITA,09/01/2020,0,0
Italy,ITA,10/01/2020,0,0
Italy,ITA,11/01/2020,0,0
Italy,ITA,12/01/2020,0,0
Italy,ITA,13/01/2020,0,0
Italy,ITA,14/01/2020,0,0
Italy,ITA,15/01/2020,0,0
Italy,ITA,16/01/2020,0,0
Italy,ITA,17/01/2020,0,0
Italy,ITA,18/01/2020,0,0
Italy,ITA,19/01/2020,0,0
Italy,ITA,20/01/2020,0,0
Italy,ITA,21/01/2020,0,0
Italy,ITA,22/01/2020,0,0
Italy,ITA,23/01/2020,0,0
Italy,ITA,24/01/2020,0,0
Italy,ITA,25/01/2020,0,0
Italy,ITA,26/01/2020,0,0
Italy,ITA,27/01/2020,0,0
Italy,ITA,28/01/2020,0,0
Italy,ITA,29/01/2020,0,0
Italy,ITA,30/01/2020,0,0
Italy,ITA,31/01/2020,0,0
Italy,ITA,01/02/2020,0,0
Italy,ITA,02/02/2020,0,0
Italy,ITA,03/02/2020,0,0
Italy,ITA,04/02/2020,0,0
Italy,ITA,05/02/2020,0,0
Italy,ITA,06/02/2020,0,0
Italy,ITA,07/02/2020,0,0
Italy,ITA,08/02/2020,0,0
Italy,ITA,09/02/2020,0,0
Italy,ITA,10/02/2020,0,0
Italy,ITA,11/02/2020,0,0
Italy,ITA,12/02/2020,0,0
Italy,ITA,13/02/2020,0,0
Italy,ITA,14/02/2020,0,0
Italy,ITA,15/02/2020,0,0
Italy,ITA,16/02/2020,0,0
Italy,ITA,17/02/2020,0,0
Italy,ITA,18/02/2020,0,0
Italy,ITA,19/02/2020,0,0
Italy,ITA,20/02/2020,0,0
Italy,ITA,21/02/2020,0,0
Italy,ITA,22/02/2020,0,0
Italy,ITA,23/02/2020,2,2
Italy,ITA,24/02/2020,2,0
Italy,ITA,25/02/2020,6,4
Italy,ITA,26/02/2020,11,5
Italy,ITA,27/02/2020,12,1
Italy,ITA,28/02/2020,17,5
Italy,ITA,29/02/2020,21,4
Italy,ITA,01/03/2020,29,8
Italy,ITA,02/03/2020,35,6
Italy,ITA,03/03/2020,52,17
Italy,ITA,04/03/2020,80,28
Italy,ITA,05/03/2020,107,27
Italy,ITA,06/03/2020,148,41
Italy,ITA,07/03/2020,197,49
Italy,ITA,08/03/2020,233,36
Italy,ITA,09/03/2020,366,133
Italy,ITA,10/03/2020,464,98
Italy,ITA,11/03/2020,631,167
Italy,ITA,12/03/2020,827,196
Italy,ITA,13/03/2020,1016,189
Italy,ITA,14/03/2020,1268,252
Italy,ITA,15/03/2020,1441,173
Italy,ITA,16/03/2020,1811,370
Italy,ITA,17/03/2020,2158,347
Italy,ITA,18/03/2020,2505,347
Italy,ITA,19/03/2020,2978,473
Italy,ITA,20/03/2020,3407,429
Italy,ITA,21/03/2020,4032,625
Italy,ITA,22/03/2020,4827,795
Italy,ITA,23/03/2020,5476,649
Italy,ITA,24/03/2020,6077,601
Italy,ITA,25/03/2020,6820,743
Italy,ITA,26/03/2020,7505,685
Italy,ITA,27/03/2020,8165,660
Italy,ITA,28/03/2020,9136,971
Italy,ITA,29/03/2020,10023,887
Italy,ITA,30/03/2020,10781,758
Italy,ITA,31/03/2020,11591,810
Italy,ITA,01/04/2020,12430,839
Italy,ITA,02/04/2020,13157,727
Italy,ITA,03/04/2020,13917,760
Italy,ITA,04/04/2020,14681,764
Italy,ITA,05/04/2020,15362,681
Italy,ITA,06/04/2020,15889,527
Italy,ITA,07/04/2020,16525,636
Italy,ITA,08/04/2020,17129,604
Italy,ITA,09/04/2020,17669,540
Italy,ITA,10/04/2020,18281,612
Italy,ITA,11/04/2020,18851,570
